Date,Time,5,7,9
1/1/2016,00:00:00,92.208,68.304,130.116
1/1/2016,01:00:00,91.836,68.024,129.744
1/1/2016,02:00:00,90.912,67.336,128.724
1/1/2016,03:00:00,90.816,67.272,128.892
1/1/2016,04:00:00,91.356,67.672,130.032
1/1/2016,05:00:00,92.88,68.8,132.648
1/1/2016,06:00:00,96.984,71.84,137.556
1/1/2016,07:00:00,99.588,73.768,141.144
1/1/2016,08:00:00,102.324,75.792,144.06
1/1/2016,09:00:00,105.72,78.312,148.812
1/1/2016,10:00:00,110.5,79.008,155.223
1/1/2016,11:00:00,120.16,77.944,160.25
1/1/2016,12:00:00,128.28,95.03,179.34
1/1/2016,13:00:00,130.635,96.77,182.175
1/1/2016,14:00:00,132.705,98.3,184.89
1/1/2016,15:00:00,134.22,99.42,186.735
1/1/2016,16:00:00,135,100,187.5
1/1/2016,17:00:00,146.13,117.13,227.265
1/1/2016,18:00:00,143.445,115.15,224.64
1/1/2016,19:00:00,172.5,125,240
1/1/2016,20:00:00,137.13,105,216.555
1/1/2016,21:00:00,119.76,90.71,214.32
1/1/2016,22:00:00,117.3,86.89,182.1
1/1/2016,23:00:00,115.77,85.76,165.18
1/10/2016,00:00:00,157.613,260.106,303.613
1/10/2016,01:00:00,156.2595,254.364,302.726
1/10/2016,02:00:00,154.575,251.721,300.352
1/10/2016,03:00:00,154.308,250.433,300.737
1/10/2016,04:00:00,155.225,252.037,303.403
1/10/2016,05:00:00,158.381,259.717,309.523
1/10/2016,06:00:00,165.499,280.921,320.952
1/10/2016,07:00:00,170.3,290,329.341
1/10/2016,08:00:00,173.3675,285.566,336.126
1/10/2016,09:00:00,177.0685,273.65,347.24
1/10/2016,10:00:00,178.077,276.469,349.924
1/10/2016,11:00:00,175.2475,260.457,343.845
1/10/2016,12:00:00,171.4785,247.564,334.755
1/10/2016,13:00:00,173.8655,241.428,340.065
1/10/2016,14:00:00,175.986,234.381,345.14
1/10/2016,15:00:00,177.991,234.312,348.565
1/10/2016,16:00:00,180,244.397,350
1/10/2016,17:00:00,177.5585,270.017,340.216
1/10/2016,18:00:00,177.0715,278.29,335.321
1/10/2016,19:00:00,174.0815,277.637,327.906
1/10/2016,20:00:00,170.146,270.668,320.229
1/10/2016,21:00:00,167.729,264.054,316.057
1/10/2016,22:00:00,164.3115,251.907,311.932
1/10/2016,23:00:00,161.19,238.051,308.344
