periods,bess 1,bess 2,bess 3
1.0,450.0,497.08,475.0
2.0,450.0,435.02,475.0
3.0,352.02,435.02,475.0
4.0,352.02,375.08,475.0
5.0,352.02,313.03,475.0
6.0,352.02,245.86,475.0
7.0,224.4,245.86,475.0
8.0,194.07,179.82,475.0
9.0,194.07,164.49,475.0
10.0,198.18,164.49,562.56
11.0,241.97,164.49,637.78
12.0,248.16,354.49,642.11
13.0,395.26,544.49,826.01
14.0,613.76,599.41,878.86
15.0,686.29,789.41,878.86
16.0,750.0,800.0,878.86
17.0,750.0,800.0,950.0
18.0,551.5,710.64,825.46
19.0,483.18,500.11,825.46
20.0,452.28,289.58,544.21
21.0,289.51,209.0,309.22
22.0,123.22,209.0,95.0
23.0,123.22,117.42,95.0
24.0,75.0,80.0,95.0
