order,1,2,3,4,5,6,7,8,9
bus_agg,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.0,0.0,16.153188340270077,0.0,11.965636131288036,0.0,18.54052584575967
2,0.0,0.0,0.0,0.0,16.088020610110217,0.0,11.916585151597818,0.0,18.487518716623953
3,0.0,0.0,0.0,0.0,15.926152377132498,0.0,11.79605988721614,0.0,18.342176588348607
4,0.0,0.0,0.0,0.0,15.909334898381564,0.0,11.78484823471552,0.0,18.366115291829253
5,0.0,0.0,0.0,0.0,16.003933216355556,0.0,11.8549210628444,0.0,18.528556494019348
6,0.0,0.0,0.0,0.0,16.2709106915266,0.0,12.05252643816785,0.0,18.90131630536082
7,0.0,0.0,0.0,0.0,16.989857908128936,0.0,12.585079931947362,0.0,19.600668428473956
8,0.0,0.0,0.0,0.0,17.446032019247966,0.0,12.922830963528577,0.0,20.111930738524876
9,0.0,0.0,0.0,0.0,17.925330163649523,0.0,13.277399473860724,0.0,20.527438234653214
10,0.0,0.0,0.0,0.0,18.520248474463738,0.0,13.718858291072685,0.0,21.20456156167718
11,0.0,0.0,0.0,0.0,19.35761877060389,0.0,13.84078501201694,0.0,22.118079585572513
12,0.0,0.0,0.0,0.0,21.04987756991641,0.0,13.654391289194114,0.0,22.83438829031777
13,0.0,0.0,0.0,0.0,22.472355980932733,0.0,16.647552142719345,0.0,25.554565965588697
14,0.0,0.0,0.0,0.0,22.88490975654153,0.0,16.952368945079986,0.0,25.958531586824584
15,0.0,0.0,0.0,0.0,23.2475366421085,0.0,17.22039751267296,0.0,26.34539813414572
16,0.0,0.0,0.0,0.0,23.51293747864664,0.0,17.416601431433836,0.0,26.608296395584954
17,0.0,0.0,0.0,0.0,23.649579493497964,0.0,17.518207032220715,0.0,26.717302991791463
18,0.0,0.0,0.0,0.0,25.59935593618413,0.0,20.51907589684012,0.0,32.38350861029059
19,0.0,0.0,0.0,0.0,25.128992077369002,0.0,20.172215397602155,0.0,32.00946636840551
20,0.0,0.0,0.0,0.0,30.21890713058073,0.0,21.897758790275894,0.0,34.198147829493074
21,0.0,0.0,0.0,0.0,24.022717303284264,0.0,18.39411738383175,0.0,30.857416263399468
22,0.0,0.0,0.0,0.0,20.97980474178753,0.0,15.890765598927409,0.0,30.538946011737313
23,0.0,0.0,0.0,0.0,20.548856848794898,0.0,15.221570090296579,0.0,25.947844665627866
24,0.0,0.0,0.0,0.0,20.28082828120192,0.0,15.023614350832485,0.0,23.536875243648606
