order,1,2,3,4,5,6,7,8,9
bus_agg,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.0,0.0,92.208,0.0,68.304,0.0,130.116
2,0.0,0.0,0.0,0.0,91.836,0.0,68.024,0.0,129.744
3,0.0,0.0,0.0,0.0,90.912,0.0,67.336,0.0,128.724
4,0.0,0.0,0.0,0.0,90.816,0.0,67.272,0.0,128.892
5,0.0,0.0,0.0,0.0,91.356,0.0,67.672,0.0,130.032
6,0.0,0.0,0.0,0.0,92.88,0.0,68.8,0.0,132.648
7,0.0,0.0,0.0,0.0,96.984,0.0,71.84,0.0,137.556
8,0.0,0.0,0.0,0.0,99.588,0.0,73.768,0.0,141.144
9,0.0,0.0,0.0,0.0,102.324,0.0,75.792,0.0,144.06
10,0.0,0.0,0.0,0.0,105.72,0.0,78.312,0.0,148.812
11,0.0,0.0,0.0,0.0,110.5,0.0,79.008,0.0,155.223
12,0.0,0.0,0.0,0.0,120.16,0.0,77.944,0.0,160.25
13,0.0,0.0,0.0,0.0,128.28,0.0,95.03,0.0,179.34
14,0.0,0.0,0.0,0.0,130.635,0.0,96.77,0.0,182.175
15,0.0,0.0,0.0,0.0,132.705,0.0,98.3,0.0,184.89
16,0.0,0.0,0.0,0.0,134.22,0.0,99.42,0.0,186.735
17,0.0,0.0,0.0,0.0,135.0,0.0,100.0,0.0,187.5
18,0.0,0.0,0.0,0.0,146.13,0.0,117.13,0.0,227.265
19,0.0,0.0,0.0,0.0,143.445,0.0,115.15,0.0,224.64
20,0.0,0.0,0.0,0.0,172.5,0.0,125.0,0.0,240.0
21,0.0,0.0,0.0,0.0,137.13,0.0,105.0,0.0,216.555
22,0.0,0.0,0.0,0.0,119.76,0.0,90.71,0.0,214.32
23,0.0,0.0,0.0,0.0,117.3,0.0,86.89,0.0,182.1
24,0.0,0.0,0.0,0.0,115.77,0.0,85.76,0.0,165.18
