periods,id91 1->4,id91 4->1,id92 4->5,id92 5->4,id93 5->6,id93 6->5,id94 3->6,id94 6->3,id95 6->7,id95 7->6,id96 7->8,id96 8->7,id97 8->2,id97 2->8,id98 8->9,id98 9->8,id99 9->4,id99 4->9
1.0,-0.0,0.0,-19.56,19.56,-3.13,3.13,0.0,0.0,-1.61,1.61,6.45,-6.45,0.0,0.0,-1.02,1.02,14.71,-14.71
2.0,-0.0,0.0,-19.52,19.52,-3.17,3.17,0.0,0.0,-1.63,1.63,6.4,-6.4,0.0,0.0,-0.94,0.94,14.71,-14.71
3.0,-0.0,0.0,-12.73,12.73,5.05,-5.05,0.0,0.0,-8.39,8.39,-0.44,0.44,0.0,0.0,-0.74,0.74,14.71,-14.71
4.0,-0.0,0.0,-19.41,19.41,-3.26,3.26,0.0,0.0,-1.68,1.68,6.26,-6.26,0.0,0.0,-0.77,0.77,14.71,-14.71
5.0,-0.0,0.0,-19.42,19.42,-3.15,3.15,0.0,0.0,-1.62,1.62,6.37,-6.37,0.0,0.0,-1.0,1.0,14.71,-14.71
6.0,-0.0,0.0,-19.5,19.5,-2.9,2.9,0.0,0.0,-1.49,1.49,6.63,-6.63,0.0,0.0,-1.52,1.52,14.71,-14.71
7.0,-0.0,0.0,-11.11,11.11,8.45,-8.45,0.0,0.0,-9.96,9.96,-1.48,1.48,0.0,0.0,-2.5,2.5,14.71,-14.71
8.0,-0.0,0.0,-17.88,17.88,0.65,-0.65,0.0,0.0,-3.21,3.21,5.5,-5.5,0.0,0.0,-3.21,3.21,14.71,-14.71
9.0,-0.0,0.0,-17.08,17.08,2.27,-2.27,-0.0,0.0,-4.11,4.11,4.84,-4.84,0.0,0.0,-3.79,3.79,14.71,-14.71
10.0,0.0,0.0,-14.21,14.21,27.53,-27.53,-0.0,0.0,-2.36,2.36,6.89,-6.89,0.0,0.0,-22.89,22.89,3.96,-3.96
11.0,0.0,0.0,-12.72,12.72,27.53,-27.53,-0.0,0.0,-0.97,0.97,8.36,-8.36,0.0,0.0,-25.58,25.58,3.12,-3.12
12.0,0.0,0.0,-0.86,0.86,27.53,-27.53,-0.0,0.0,-12.83,12.83,-3.63,3.63,0.0,0.0,-16.84,16.84,8.88,-8.88
13.0,-0.0,0.0,-36.93,36.93,27.53,-27.53,-0.0,0.0,-5.52,5.52,5.7,-5.7,0.0,0.0,-13.06,13.06,13.37,-13.37
14.0,-0.0,0.0,-12.14,12.14,27.53,-27.53,-0.0,0.0,1.26,-1.26,12.69,-12.69,0.0,0.0,-31.25,31.25,2.94,-2.94
15.0,-0.0,0.0,-2.35,2.35,27.53,-27.53,-0.0,0.0,-12.63,12.63,-1.02,1.02,0.0,0.0,-19.31,19.31,10.32,-10.32
16.0,-0.0,0.0,-2.63,2.63,27.53,-27.53,-0.0,0.0,-3.91,3.91,7.83,-7.83,0.0,0.0,-29.53,29.53,4.49,-4.49
17.0,-0.0,0.0,-25.87,25.87,15.85,-15.85,-0.0,0.0,-4.49,4.49,7.32,-7.32,0.0,0.0,-12.42,12.42,14.71,-14.71
18.0,-0.0,0.0,9.48,-9.48,17.87,-17.87,-0.0,0.0,-14.17,14.17,-0.34,0.34,0.0,0.0,-20.33,20.33,14.71,-14.71
19.0,-0.0,0.0,-17.25,17.25,11.5,-11.5,0.0,0.0,-1.75,1.75,11.85,-11.85,0.0,0.0,-19.8,19.8,14.71,-14.71
20.0,-0.0,0.0,16.05,-16.05,-2.44,2.44,0.0,0.0,-4.72,4.72,10.03,-10.03,0.0,0.0,-22.86,22.86,14.71,-14.71
21.0,0.0,0.0,22.75,-22.75,7.95,-7.95,0.0,0.0,-14.17,14.17,-1.77,1.77,0.0,0.0,-18.2,18.2,14.71,-14.71
22.0,0.0,0.0,22.89,-22.89,8.71,-8.71,0.0,0.0,-14.17,14.17,-3.46,3.46,0.0,-0.0,-17.75,17.75,14.71,-14.71
23.0,-0.0,0.0,-20.19,20.19,1.84,-1.84,0.0,0.0,0.95,-0.95,11.2,-11.2,0.0,-0.0,-11.35,11.35,14.71,-14.71
24.0,-0.0,0.0,-17.8,17.8,4.46,-4.46,0.0,0.0,-3.11,3.11,7.01,-7.01,0.0,-0.0,-7.99,7.99,14.71,-14.71
