periods,id91 1->4,id91 4->1,id92 4->5,id92 5->4,id93 5->6,id93 6->5,id94 3->6,id94 6->3,id95 6->7,id95 7->6,id96 7->8,id96 8->7,id97 8->2,id97 2->8,id98 8->9,id98 9->8,id99 9->4,id99 4->9
1.0,133.57,-133.57,105.85,-105.85,13.64,-13.64,0.0,0.0,13.64,-13.64,-54.66,54.66,0.0,0.0,5.12,-5.12,-125.0,125.0
2.0,126.53,-126.53,105.65,-105.65,13.81,-13.81,0.0,0.0,13.81,-13.81,-54.21,54.21,0.0,0.0,4.74,-4.74,-125.0,125.0
3.0,88.25,-88.25,68.89,-68.89,-22.02,22.02,0.0,0.0,71.06,-71.06,3.72,-3.72,0.0,0.0,3.72,-3.72,-125.0,125.0
4.0,128.58,-128.58,105.04,-105.04,14.23,-14.23,0.0,0.0,14.23,-14.23,-53.05,53.05,0.0,0.0,3.89,-3.89,-125.0,125.0
5.0,134.35,-134.35,105.11,-105.11,13.75,-13.75,0.0,0.0,13.75,-13.75,-53.92,53.92,0.0,0.0,5.03,-5.03,-125.0,125.0
6.0,143.88,-143.88,105.52,-105.52,12.64,-12.64,0.0,0.0,12.64,-12.64,-56.16,56.16,0.0,0.0,7.65,-7.65,-125.0,125.0
7.0,109.14,-109.14,60.14,-60.14,-36.85,36.85,0.0,0.0,84.4,-84.4,12.56,-12.56,0.0,0.0,12.56,-12.56,-125.0,125.0
8.0,145.36,-145.36,96.74,-96.74,-2.85,2.85,0.0,0.0,27.17,-27.17,-46.6,46.6,0.0,0.0,16.14,-16.14,-125.0,125.0
9.0,127.74,-127.74,92.42,-92.42,-9.91,9.91,27.3,-27.3,34.79,-34.79,-41.0,41.0,0.0,0.0,19.06,-19.06,-125.0,125.0
10.0,0.0,0.0,76.93,-76.93,-120.0,120.0,104.1,-104.1,19.97,-19.97,-58.34,58.34,0.0,0.0,115.16,-115.16,-33.65,33.65
11.0,0.0,0.0,68.85,-68.85,-120.0,120.0,119.7,-119.7,8.21,-8.21,-70.8,70.8,0.0,0.0,128.7,-128.7,-26.53,26.53
12.0,0.0,0.0,4.67,-4.67,-120.0,120.0,152.4,-152.4,108.69,-108.69,30.74,-30.74,0.0,0.0,84.74,-84.74,-75.51,75.51
13.0,250.0,-250.0,199.84,-199.84,-120.0,120.0,188.4,-188.4,46.75,-46.75,-48.28,48.28,0.0,0.0,65.72,-65.72,-113.62,113.62
14.0,45.8,-45.8,65.69,-65.69,-120.0,120.0,193.5,-193.5,-10.7,10.7,-107.47,107.47,0.0,0.0,157.22,-157.22,-24.95,24.95
15.0,68.51,-68.51,12.7,-12.7,-120.0,120.0,173.1,-173.1,106.96,-106.96,8.66,-8.66,0.0,0.0,97.16,-97.16,-87.73,87.73
16.0,29.21,-29.21,14.22,-14.22,-120.0,120.0,135.6,-135.6,33.13,-33.13,-66.29,66.29,0.0,0.0,148.56,-148.56,-38.17,38.17
17.0,245.62,-245.62,140.0,-140.0,-69.1,69.1,74.7,-74.7,38.0,-38.0,-62.0,62.0,0.0,0.0,62.5,-62.5,-125.0,125.0
18.0,52.41,-52.41,-51.31,51.31,-77.88,77.88,8.7,-8.7,120.0,-120.0,2.87,-2.87,0.0,0.0,102.26,-102.26,-125.0,125.0
19.0,197.81,-197.81,93.33,-93.33,-50.12,50.12,0.0,0.0,14.79,-14.79,-100.36,100.36,0.0,0.0,99.64,-99.64,-125.0,125.0
20.0,29.41,-29.41,-86.85,86.85,10.65,-10.65,0.0,0.0,40.0,-40.0,-85.0,85.0,0.0,0.0,115.0,-115.0,-125.0,125.0
21.0,0.0,0.0,-123.1,123.1,-34.64,34.64,0.0,0.0,120.0,-120.0,15.0,-15.0,0.0,0.0,91.55,-91.55,-125.0,125.0
22.0,0.0,0.0,-123.86,123.86,-37.97,37.97,0.0,0.0,120.0,-120.0,29.29,-29.29,-60.03,60.03,89.32,-89.32,-125.0,125.0
23.0,234.29,-234.29,109.29,-109.29,-8.01,8.01,0.0,0.0,-8.01,8.01,-94.9,94.9,-65.0,65.0,57.1,-57.1,-125.0,125.0
24.0,221.34,-221.34,96.34,-96.34,-19.43,19.43,0.0,0.0,26.37,-26.37,-59.39,59.39,-64.02,64.02,40.18,-40.18,-125.0,125.0
