periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9
1.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
2.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
3.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
4.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
5.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
6.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
7.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
8.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
9.0,10.0,10.69,10.42,10.0,10.15,10.42,10.58,10.69,10.95
10.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
11.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
12.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
13.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
14.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
15.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
16.0,10.0,9.65,9.41,10.0,10.13,9.41,9.55,9.65,9.88
17.0,10.0,10.62,10.38,10.0,10.13,10.38,10.52,10.62,10.86
18.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
19.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
20.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
21.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
22.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
23.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
24.0,10.0,60.0,40.5,10.0,20.59,40.5,51.88,60.0,78.62
