periods,id91 1-4,id92 4-5,id93 5-6,id94 3-6,id95 6-7,id96 7-8,id97 8-2,id98 8-9,id99 9-4
1.0,4.4,5.75,1.4,-0.0,0.8,-2.29,-0.0,0.49,-6.15
2.0,4.17,5.74,1.42,-0.0,0.81,-2.27,-0.0,0.45,-6.15
3.0,2.91,3.75,-2.26,-0.0,4.15,0.16,-0.0,0.36,-6.15
4.0,4.24,5.71,1.46,-0.0,0.83,-2.22,-0.0,0.37,-6.15
5.0,4.42,5.71,1.41,-0.0,0.81,-2.25,-0.0,0.48,-6.15
6.0,4.74,5.73,1.3,-0.0,0.74,-2.35,-0.0,0.73,-6.15
7.0,3.6,3.27,-3.77,-0.0,4.93,0.53,-0.0,1.2,-6.15
8.0,4.79,5.26,-0.29,-0.0,1.59,-1.95,-0.0,1.55,-6.15
9.0,4.21,5.02,-1.02,0.92,2.04,-1.71,-0.0,1.83,-6.15
10.0,-0.0,4.19,-12.12,3.49,1.17,-2.44,-0.0,10.91,-1.66
11.0,-0.0,3.75,-12.12,4.01,0.48,-2.96,-0.0,12.16,-1.31
12.0,-0.0,0.25,-12.12,5.1,6.34,1.29,-0.0,8.07,-3.72
13.0,8.19,10.77,-12.12,6.3,2.74,-2.02,-0.0,6.28,-5.59
14.0,1.51,3.58,-12.12,6.47,-0.63,-4.49,-0.0,14.74,-1.23
15.0,2.26,0.69,-12.12,5.79,6.24,0.36,-0.0,9.24,-4.32
16.0,0.96,0.78,-12.12,4.54,1.94,-2.77,-0.0,13.96,-1.88
17.0,8.05,7.59,-7.05,2.51,2.22,-2.59,-0.0,5.97,-6.15
18.0,1.73,-2.79,-7.93,0.29,6.99,0.12,-0.0,9.71,-6.15
19.0,6.5,5.07,-5.12,-0.0,0.87,-4.19,-0.0,9.47,-6.15
20.0,0.97,-4.72,1.09,-0.0,2.34,-3.55,-0.0,10.89,-6.15
21.0,-0.0,-6.68,-3.55,-0.0,6.99,0.63,-0.0,8.71,-6.15
22.0,-0.0,-6.72,-3.89,-0.0,6.99,1.22,-2.15,8.5,-6.15
23.0,7.69,5.94,-0.82,-0.0,-0.47,-3.96,-2.33,5.46,-6.15
24.0,7.27,5.24,-1.99,-0.0,1.54,-2.48,-2.29,3.85,-6.15
