periods,gen 903,gen 904,gen 905,gen 906
1.0,0.0,97.28,0.0,0.0
2.0,0.0,104.12,0.0,0.0
3.0,0.0,105.64,0.0,0.0
4.0,0.0,101.46,0.0,0.0
5.0,0.0,95.76,0.0,0.0
6.0,0.0,86.64,0.0,0.0
7.0,0.0,76.0,0.0,0.0
8.0,0.0,76.38,0.0,1.2
9.0,27.3,89.68,45.5,17.4
10.0,104.1,110.58,173.5,40.2
11.0,119.7,95.38,199.5,54.6
12.0,152.4,80.18,254.0,82.8
13.0,188.4,63.46,314.0,133.2
14.0,193.5,44.84,322.5,145.8
15.0,173.1,31.92,288.5,130.2
16.0,135.6,23.18,226.0,84.6
17.0,74.7,19.38,124.5,32.4
18.0,8.7,21.28,14.5,0.6
19.0,0.0,20.52,0.0,0.0
20.0,0.0,8.74,0.0,0.0
21.0,0.0,1.9,0.0,0.0
22.0,0.0,1.14,0.0,0.0
23.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
